# TargetDeployments.txt


##########################
##                      ##
##  Target deployments  ##
##                      ##
##########################

 Arch_OS_Bits_Compiler[_Feat.]    | Build         | License Model
----------------------------------+---------------+----------------------------
 x86_WindowsCygwin_32_gccV640     | ST/MT-Engines | EULA/no_license_key_needed
 x86_WindowsUWIN_32_gccV295       | ST/MT-Engines | EULA/no_license_key_needed
 x86_WindowsSFU-SUA_32_gccV33     | ST/MT-Engines | EULA/no_license_key_needed
 x86_Linux_32_gccV485             | ST/MT-Engines | EULA/no_license_key_needed
 x86_Linux_32_gccV1021            | ST/MT-Engines | EULA/no_license_key_needed
 x86_Linux_32_clangV1101          | ST/MT-Engines | EULA/no_license_key_needed
 x86_Linux_32_iccVxe2019u3        | ST/MT-Engines | EULA/no_license_key_needed
 x86_FreeBSD_32_gccV920           | ST/MT-Engines | EULA/no_license_key_needed
 x86_FreeBSD_32_clangV801         | ST/MT-Engines | EULA/no_license_key_needed
 x86_OpenBSD_32_gccV830           | ST/MT-Engines | EULA/no_license_key_needed
 x86_OpenBSD_32_clangV801         | ST/MT-Engines | EULA/no_license_key_needed
 x86_NetBSD_32_gccV830            | ST/MT-Engines | EULA/no_license_key_needed
 x86_NetBSD_32_clangV900          | ST/MT-Engines | EULA/no_license_key_needed
 x86_MacOS_32_clangV702           | ST/MT-Engines | EULA/no_license_key_needed
 x86_SunOS_32_ccV510              | ST/MT-Engines | EULA/no_license_key_needed
 x86_SunOS_32_gccV343             | ST/MT-Engines | EULA/no_license_key_needed
 x86_UnixwareSCO_32_ccsV42        | ST/MT-Engines | EULA/no_license_key_needed
 x86_UnixwareSCO_32_gccV295       | ST/MT-Engines | EULA/no_license_key_needed
 x86_Android_32_gccV49x           | ST/MT-Engines | EULA/no_license_key_needed
 x86_Android_32_clangV503         | ST/MT-Engines | EULA/no_license_key_needed
 x86-64_WindowsCygwin_64_gccV640  | ST/MT-Engines | EULA/no_license_key_needed
 x86-64_Linux_64_gccV485          | ST/MT-Engines | EULA/no_license_key_needed
 x86-64_Linux_64_gccV1021         | ST/MT-Engines | EULA/no_license_key_needed
 x86-64_Linux_64_clangV1101       | ST/MT-Engines | EULA/no_license_key_needed
 x86-64_Linux_64_iccVxe2019u3     | ST/MT-Engines | EULA/no_license_key_needed
 x86-64_FreeBSD_64_gccV920        | ST/MT-Engines | EULA/no_license_key_needed
 x86-64_FreeBSD_64_clangV801      | ST/MT-Engines | EULA/no_license_key_needed
 x86-64_OpenBSD_64_gccV830        | ST/MT-Engines | EULA/no_license_key_needed
 x86-64_OpenBSD_64_clangV801      | ST/MT-Engines | EULA/no_license_key_needed
 x86-64_NetBSD_64_gccV830         | ST/MT-Engines | EULA/no_license_key_needed
 x86-64_NetBSD_64_clangV900       | ST/MT-Engines | EULA/no_license_key_needed
 x86-64_MacOS_64_clangV702        | ST/MT-Engines | EULA/no_license_key_needed
 x86-64_MacOS_64_clangV1200       | ST/MT-Engines | EULA/no_license_key_needed
 x86-64_SunOS_64_ccV510           | ST/MT-Engines | EULA/no_license_key_needed
 x86-64_SunOS_64_gccV343          | ST/MT-Engines | EULA/no_license_key_needed
 x86-64_Android_64_gccV49x        | ST/MT-Engines | EULA/no_license_key_needed
 x86-64_Android_64_clangV503      | ST/MT-Engines | EULA/no_license_key_needed
 Alpha_Tru64OSF1_64_ccV65303      | ST/MT-Engines | EULA/no_license_key_needed
 Alpha_Tru64OSF1_64_gccV423       | ST/MT-Engines | EULA/no_license_key_needed
 Alpha_Linux_64_gccV424           | ST/MT-Engines | EULA/no_license_key_needed
 Alpha_Linux_64_gccV1021          | ST/MT-Engines | EULA/no_license_key_needed
 Alpha_FreeBSD_64_gccV346         | ST/MT-Engines | EULA/no_license_key_needed
 Alpha_OpenBSD_64_gccV421         | ST/MT-Engines | EULA/no_license_key_needed
 IA-64_HP-UX_32_ccVa0628          | ST/MT-Engines | EULA/no_license_key_needed
 IA-64_HP-UX_32_gccV472           | ST/MT-Engines | EULA/no_license_key_needed
 IA-64_HP-UX_64_ccVa0628          | ST/MT-Engines | EULA/no_license_key_needed
 IA-64_HP-UX_64_gccV472           | ST/MT-Engines | EULA/no_license_key_needed
 IA-64_Linux_64_gccV412           | ST/MT-Engines | EULA/no_license_key_needed
 IA-64_Linux_64_gccV463           | ST/MT-Engines | EULA/no_license_key_needed
 IA-64_Linux_64_gccV1021          | ST/MT-Engines | EULA/no_license_key_needed
 IA-64_FreeBSD_64_gccV421         | ST/MT-Engines | EULA/no_license_key_needed
 XeonPhiMIC_Linux_64_iccVxe2017u5 | ST/MT-Engines | EULA/no_license_key_needed
 XeonPhiMIC_Linux_64_gccV470      | ST/MT-Engines | EULA/no_license_key_needed
 MCSTelbrus_Linux_32_lccV120      | ST/MT-Engines | EULA/no_license_key_needed
 MCSTelbrus_Linux_32_lccV125      | ST/MT-Engines | EULA/no_license_key_needed
 MCSTelbrus_Linux_64_lccV120      | ST/MT-Engines | EULA/no_license_key_needed
 MCSTelbrus_Linux_64_lccV125      | ST/MT-Engines | EULA/no_license_key_needed
 PA-RISC_HP-UX_32_ccVc0370        | ST/MT-Engines | EULA/no_license_key_needed
